id,userId,createdAt,placeLongitude,placeLatitude,userLocation
776525472016527366,33589783,2016-09-15 20:57:54,8.6711,47.4269,Siri weiss es 
776525526563520512,1397017897,2016-09-15 20:58:07,7.583139999999999,47.5596,Macau
776525528522252288,844365517,2016-09-15 20:58:07,7.97225,46.6728,"Brienz (BE), Bern"
776525543982374912,609899797,2016-09-15 20:58:11,8.770010000000001,47.2008,"Zermatt, Switzerland"
776525579373912064,775453086261342208,2016-09-15 20:58:19,7.1055399999999995,47.6133,
776525591663276032,1053629670,2016-09-15 20:58:22,7.7134100000000005,46.4657,
776525594515349505,766674630014857217,2016-09-15 20:58:23,8.317210000000001,47.0408,
776525599204577281,5645212,2016-09-15 20:58:24,9.73668,47.5067,São Paulo
776525611514855427,1467808118,2016-09-15 20:58:27,7.2827399999999995,47.7218,
776525681383632896,1397017897,2016-09-15 20:58:44,7.583139999999999,47.5596,Macau
776525684382597120,341542554,2016-09-15 20:58:44,6.741960000000001,47.4906,"Montbéliard, France"
776525731979460608,735449229028675584,2016-09-15 20:58:56,8.96044,46.0027,Earleen. 
776525745401266176,306386825,2016-09-15 20:58:59,6.95068,46.4277,
776525757304668160,1053629670,2016-09-15 20:59:02,7.39491,46.9543,
776525785440088064,154829180,2016-09-15 20:59:09,8.536760000000001,47.3774,8051 Zürich
776525793799335938,1090134181,2016-09-15 20:59:11,6.1049,45.9524,Haute-Savoie
776525811096649728,1163789684,2016-09-15 20:59:15,7.054819999999999,46.8942,"Faoug, Vaud"
776525838397341696,793593649,2016-09-15 20:59:21,6.6796,46.1381,
776525846563659776,866661589,2016-09-15 20:59:23,6.8472100000000005,46.4384,Suiça / Santo Tirso
776525849973653504,1493466042,2016-09-15 20:59:24,6.814539999999999,45.8333,Bath / Bristol / up a mountain
776525856286048256,4827766088,2016-09-15 20:59:25,6.657719999999999,46.5869,넬라 
776525872102830082,866661589,2016-09-15 20:59:29,6.8472100000000005,46.4384,Suiça / Santo Tirso
776525878541058049,435239151,2016-09-15 20:59:31,5.9408199999999995,47.201,Fontain
776525898455642112,2966560936,2016-09-15 20:59:36,6.810039999999999,46.3872,Valais Suisse 
776525968903135232,1163789684,2016-09-15 20:59:52,7.054819999999999,46.8942,"Faoug, Vaud"
776525980244533248,989033107,2016-09-15 20:59:55,7.79242,46.0506,-El Pueblito
776525990348611584,4891701287,2016-09-15 20:59:57,7.21985,47.6028,MTA
776526057113608193,148350971,2016-09-15 21:00:13,6.68354,45.9981,West Lothian
776526062922633216,438351512,2016-09-15 21:00:15,7.23619,47.123999999999995,
776526072250769408,341542554,2016-09-15 21:00:17,6.741960000000001,47.4906,"Montbéliard, France"
776526073240645633,5645212,2016-09-15 21:00:17,9.73668,47.5067,São Paulo
776526074557698049,288458435,2016-09-15 21:00:17,6.8472100000000005,46.4384,Portugal 
776526100889415680,154453512,2016-09-15 21:00:24,9.07347,45.8584,"Manila, Philippines"
776526102537900032,311662729,2016-09-15 21:00:24,6.853739999999999,46.3378,
